seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
NODE_159_length_4231_cov_24.114279	4231	No terminal repeats	4	11	0.9714	0.0087	0	0.9349	NA	NA
NODE_52_length_26566_cov_37.186656	26566	No terminal repeats	25	11	0.9710	0.0092	0	1.4456	NA	NA
NODE_12_length_57457_cov_32.818263	57457	No terminal repeats	56	11	0.9706	0.0098	1	4.2826	T_virB9	NA
NODE_209_length_2528_cov_218.087880	2528	No terminal repeats	3	11	0.9702	0.0103	1	1.4636	F_traE	NA
NODE_98_length_10892_cov_13.822480	10892	No terminal repeats	6	11	0.9663	0.0110	0	0.5382	NA	NA
NODE_181_length_3247_cov_35.062821	3247	No terminal repeats	4	11	0.9592	0.0117	0	0.9765	NA	NA
NODE_41_length_30317_cov_29.673634	30317	No terminal repeats	31	11	0.9582	0.0125	0	1.2808	NA	NA
NODE_72_length_15893_cov_35.292972	15893	No terminal repeats	16	11	0.9556	0.0133	0	1.1668	NA	NA
NODE_55_length_26310_cov_36.151892	26310	No terminal repeats	25	11	0.8880	0.0156	0	3.0485	NA	NA
NODE_132_length_5928_cov_29.002069	5928	No terminal repeats	8	11	0.8459	0.0188	0	1.2268	NA	NA
NODE_137_length_5348_cov_27.420992	5348	No terminal repeats	7	11	0.8037	0.0229	0	1.6099	NA	NA
NODE_69_length_17851_cov_32.757391	17851	No terminal repeats	17	11	0.7841	0.0271	0	1.9979	NA	NA
NODE_126_length_6504_cov_37.789713	6504	No terminal repeats	6	11	0.7778	0.0314	0	1.3390	NA	NA
NODE_105_length_9098_cov_39.759336	9098	No terminal repeats	10	11	0.7662	0.0357	0	0.4247	NA	NA
NODE_129_length_6361_cov_29.980269	6361	No terminal repeats	5	11	0.7620	0.0399	0	0.7740	NA	NA
