seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
NODE_47_length_31533_cov_28.292173	31533	No terminal repeats	41	11	0.9989	0.0010	0	5.7500	NA	NA
NODE_113_length_10537_cov_37.745725	10537	No terminal repeats	10	11	0.9988	0.0010	0	6.1499	NA	NA
NODE_184_length_4989_cov_55.911970	4989	No terminal repeats	6	11	0.9988	0.0010	0	2.3536	NA	NF000153;NF012174;NF012171
NODE_176_length_5271_cov_4.544518	5271	No terminal repeats	4	11	0.9985	0.0010	0	2.6417	NA	NA
NODE_75_length_18711_cov_24.248870	18711	No terminal repeats	20	11	0.9985	0.0010	0	3.5610	NA	NA
NODE_21_length_47241_cov_29.800993	47241	No terminal repeats	33	11	0.9984	0.0010	0	3.2642	NA	NA
NODE_50_length_29991_cov_23.411030	29991	No terminal repeats	19	11	0.9984	0.0010	0	5.2252	NA	NF000051
NODE_100_length_12258_cov_25.278955	12258	No terminal repeats	13	11	0.9984	0.0011	0	5.0645	NA	NA
NODE_274_length_2547_cov_31.385124	2547	No terminal repeats	4	11	0.9983	0.0011	0	1.3193	NA	NA
NODE_131_length_8347_cov_15.050973	8347	No terminal repeats	10	11	0.9983	0.0011	0	2.9296	NA	NA
NODE_57_length_27898_cov_26.818804	27898	No terminal repeats	27	11	0.9982	0.0011	0	2.8574	NA	NA
NODE_269_length_2615_cov_27.276527	2615	No terminal repeats	3	11	0.9981	0.0011	0	0.4691	NA	NA
NODE_111_length_10970_cov_9.399336	10970	No terminal repeats	13	11	0.9978	0.0012	0	2.0763	NA	NA
NODE_245_length_3161_cov_3.769611	3161	No terminal repeats	5	11	0.9965	0.0012	0	0.8680	NA	NA
NODE_212_length_3817_cov_64.914363	3817	No terminal repeats	2	11	0.9955	0.0013	0	1.6964	NA	NA
NODE_81_length_16836_cov_21.027050	16836	No terminal repeats	18	11	0.9936	0.0014	0	1.1459	NA	NA
NODE_92_length_13265_cov_28.177424	13265	No terminal repeats	13	11	0.9923	0.0016	0	1.4710	NA	NA
NODE_246_length_3132_cov_16.803993	3132	No terminal repeats	3	11	0.9919	0.0018	0	1.3559	NA	NA
NODE_126_length_8657_cov_34.734584	8657	No terminal repeats	9	11	0.9915	0.0019	0	1.2123	NA	NA
NODE_10_length_65977_cov_31.859833	65977	No terminal repeats	60	11	0.9891	0.0021	0	6.9877	NA	NA
NODE_66_length_24646_cov_28.571067	24646	No terminal repeats	30	11	0.9887	0.0023	0	1.7649	NA	NF040806
NODE_218_length_3606_cov_27.465364	3606	No terminal repeats	5	11	0.9881	0.0025	0	1.3559	NA	NA
NODE_216_length_3710_cov_22.284119	3710	No terminal repeats	6	11	0.9871	0.0027	0	1.9004	NA	NF012174
NODE_78_length_18155_cov_33.642778	18155	No terminal repeats	18	11	0.9857	0.0030	0	3.0471	NA	NA
NODE_37_length_34884_cov_34.493541	34884	No terminal repeats	20	11	0.9844	0.0032	0	2.4844	NA	NA
NODE_147_length_7290_cov_17.806645	7290	No terminal repeats	9	11	0.9800	0.0036	0	3.2607	NA	NA
NODE_96_length_12714_cov_26.203226	12714	No terminal repeats	16	11	0.9730	0.0040	0	3.8400	NA	NA
NODE_46_length_31927_cov_31.313522	31927	No terminal repeats	31	11	0.9700	0.0045	0	7.8786	NA	NA
NODE_54_length_28346_cov_29.591552	28346	No terminal repeats	31	11	0.9656	0.0051	1	5.7182	T_virB9	NA
NODE_138_length_7630_cov_27.725576	7630	No terminal repeats	9	11	0.9651	0.0057	0	0.4758	NA	NA
NODE_234_length_3387_cov_46.653374	3387	No terminal repeats	4	11	0.9602	0.0063	0	0.4273	NA	NA
NODE_124_length_8710_cov_27.418036	8710	No terminal repeats	10	11	0.9600	0.0069	0	3.3026	NA	NA
NODE_148_length_7198_cov_5.523688	7198	No terminal repeats	8	11	0.9589	0.0075	0	1.2603	NA	NA
NODE_173_length_5469_cov_6.384875	5469	No terminal repeats	4	11	0.9526	0.0082	0	1.6649	NA	NA
NODE_270_length_2600_cov_4.480388	2600	No terminal repeats	3	11	0.9511	0.0089	0	0.6771	NA	NF033103
NODE_213_length_3795_cov_39.897219	3795	No terminal repeats	3	11	0.9475	0.0096	0	1.2761	NA	NA
NODE_140_length_7554_cov_27.261748	7554	No terminal repeats	9	11	0.9460	0.0103	0	1.2440	NA	NA
NODE_248_length_3109_cov_31.787726	3109	No terminal repeats	3	11	0.9427	0.0111	0	1.6764	NA	NA
NODE_30_length_39444_cov_38.806649	39444	No terminal repeats	42	11	0.9413	0.0118	0	3.6100	NA	NA
NODE_67_length_23970_cov_34.546240	23970	No terminal repeats	21	11	0.9324	0.0127	0	3.5477	NA	NA
NODE_159_length_6080_cov_4.447002	6080	No terminal repeats	5	11	0.9309	0.0136	0	0.3131	NA	NA
NODE_139_length_7571_cov_6.078990	7571	No terminal repeats	5	11	0.8789	0.0152	0	1.2292	NA	NA
NODE_204_length_4238_cov_32.282656	4238	No terminal repeats	5	11	0.7997	0.0180	0	0.6512	NA	NA
NODE_223_length_3521_cov_38.736889	3521	No terminal repeats	3	11	0.7961	0.0207	0	1.1759	NA	NA
NODE_192_length_4766_cov_32.082992	4766	No terminal repeats	7	11	0.7809	0.0236	0	0.3681	NA	NA
NODE_215_length_3723_cov_5.867075	3723	No terminal repeats	5	11	0.7489	0.0268	0	0.5553	NA	NA
NODE_191_length_4814_cov_16.258161	4814	No terminal repeats	6	11	0.7059	0.0306	0	1.2889	NA	NA
